Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM4050132	"Embryo_D6A2B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774897"	SRX6774897	"Tianqing Li"	"Nov 26, 2019"
GSM4050133	"Embryo_D6A2B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774898"	SRX6774898	"Tianqing Li"	"Nov 26, 2019"
GSM4050134	"Embryo_D6A3S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774899"	SRX6774899	"Tianqing Li"	"Nov 26, 2019"
GSM4050135	"Embryo_D6A3S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774900"	SRX6774900	"Tianqing Li"	"Nov 26, 2019"
GSM4050136	"Embryo_D6A3S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774901"	SRX6774901	"Tianqing Li"	"Nov 26, 2019"
GSM4050137	"Embryo_D6A3S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774902"	SRX6774902	"Tianqing Li"	"Nov 26, 2019"
GSM4050138	"Embryo_D6A3B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774919"	SRX6774919	"Tianqing Li"	"Nov 26, 2019"
GSM4050139	"Embryo_D6A3B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774920"	SRX6774920	"Tianqing Li"	"Nov 26, 2019"
GSM4050140	"Embryo_D6A4S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774921"	SRX6774921	"Tianqing Li"	"Nov 26, 2019"
GSM4050141	"Embryo_D6A4S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774922"	SRX6774922	"Tianqing Li"	"Nov 26, 2019"
GSM4050142	"Embryo_D6A4S6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774923"	SRX6774923	"Tianqing Li"	"Nov 26, 2019"
GSM4050143	"Embryo_D6A4S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774924"	SRX6774924	"Tianqing Li"	"Nov 26, 2019"
GSM4050144	"Embryo_D6A4B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774925"	SRX6774925	"Tianqing Li"	"Nov 26, 2019"
GSM4050145	"Embryo_D6A4B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774926"	SRX6774926	"Tianqing Li"	"Nov 26, 2019"
GSM4050146	"Embryo_D6A5S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774943"	SRX6774943	"Tianqing Li"	"Nov 26, 2019"
GSM4050147	"Embryo_D6A5S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774944"	SRX6774944	"Tianqing Li"	"Nov 26, 2019"
GSM4050148	"Embryo_D6A5S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774945"	SRX6774945	"Tianqing Li"	"Nov 26, 2019"
GSM4050149	"Embryo_D6A5B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774946"	SRX6774946	"Tianqing Li"	"Nov 26, 2019"
GSM4050150	"Embryo_D6A5B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774947"	SRX6774947	"Tianqing Li"	"Nov 26, 2019"
GSM4050151	"Embryo_D6N1B23"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774948"	SRX6774948	"Tianqing Li"	"Nov 26, 2019"
GSM4050152	"Embryo_D6N1B6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774949"	SRX6774949	"Tianqing Li"	"Nov 26, 2019"
GSM4050153	"Embryo_D6N1S15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774950"	SRX6774950	"Tianqing Li"	"Nov 26, 2019"
GSM4050154	"Embryo_D6N1S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774962"	SRX6774962	"Tianqing Li"	"Nov 26, 2019"
GSM4050155	"Embryo_D6N1S19"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774963"	SRX6774963	"Tianqing Li"	"Nov 26, 2019"
GSM4050156	"Embryo_D6N1S33"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774964"	SRX6774964	"Tianqing Li"	"Nov 26, 2019"
GSM4050157	"Embryo_D6N1S34"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774965"	SRX6774965	"Tianqing Li"	"Nov 26, 2019"
GSM4050158	"Embryo_D6N1S35"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774966"	SRX6774966	"Tianqing Li"	"Nov 26, 2019"
GSM4050159	"Embryo_D6N1S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774967"	SRX6774967	"Tianqing Li"	"Nov 26, 2019"
GSM4050160	"Embryo_D6N1S39"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774968"	SRX6774968	"Tianqing Li"	"Nov 26, 2019"
GSM4050161	"Embryo_D6N1S42"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774969"	SRX6774969	"Tianqing Li"	"Nov 26, 2019"
GSM4050162	"Embryo_D6N1S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774978"	SRX6774978	"Tianqing Li"	"Nov 26, 2019"
GSM4050163	"Embryo_D6N1S9"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774979"	SRX6774979	"Tianqing Li"	"Nov 26, 2019"
GSM4050164	"Embryo_D6N2B11"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774980"	SRX6774980	"Tianqing Li"	"Nov 26, 2019"
GSM4050165	"Embryo_D6N2B12"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774981"	SRX6774981	"Tianqing Li"	"Nov 26, 2019"
GSM4050166	"Embryo_D6N2B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774982"	SRX6774982	"Tianqing Li"	"Nov 26, 2019"
GSM4050167	"Embryo_D6N2B18"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774983"	SRX6774983	"Tianqing Li"	"Nov 26, 2019"
GSM4050168	"Embryo_D6N2B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774984"	SRX6774984	"Tianqing Li"	"Nov 26, 2019"
GSM4050169	"Embryo_D6N2B28"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774985"	SRX6774985	"Tianqing Li"	"Nov 26, 2019"
GSM4050170	"Embryo_D6N2B7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774447"	SRX6774447	"Tianqing Li"	"Nov 26, 2019"
GSM4050171	"Embryo_D6N2B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774448"	SRX6774448	"Tianqing Li"	"Nov 26, 2019"
GSM4050172	"Embryo_D6N2S11"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774449"	SRX6774449	"Tianqing Li"	"Nov 26, 2019"
GSM4050173	"Embryo_D6N2S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774450"	SRX6774450	"Tianqing Li"	"Nov 26, 2019"
GSM4050174	"Embryo_D6N2S35"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774451"	SRX6774451	"Tianqing Li"	"Nov 26, 2019"
GSM4050175	"Embryo_D6N3B12"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774452"	SRX6774452	"Tianqing Li"	"Nov 26, 2019"
GSM4050176	"Embryo_D6N3B7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774453"	SRX6774453	"Tianqing Li"	"Nov 26, 2019"
GSM4050177	"Embryo_D6N3S11"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774454"	SRX6774454	"Tianqing Li"	"Nov 26, 2019"
GSM4050178	"Embryo_D6N3S22"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774463"	SRX6774463	"Tianqing Li"	"Nov 26, 2019"
GSM4050179	"Embryo_D6N3S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774464"	SRX6774464	"Tianqing Li"	"Nov 26, 2019"
GSM4050180	"Embryo_D6N3S28"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774465"	SRX6774465	"Tianqing Li"	"Nov 26, 2019"
GSM4050181	"Embryo_D6N3S35"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774466"	SRX6774466	"Tianqing Li"	"Nov 26, 2019"
GSM4050182	"Embryo_D6N3S40"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774467"	SRX6774467	"Tianqing Li"	"Nov 26, 2019"
GSM4050183	"Embryo_D6N3S51"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774468"	SRX6774468	"Tianqing Li"	"Nov 26, 2019"
GSM4050184	"Embryo_D7A1B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774469"	SRX6774469	"Tianqing Li"	"Nov 26, 2019"
GSM4050185	"Embryo_D7A1B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774470"	SRX6774470	"Tianqing Li"	"Nov 26, 2019"
GSM4050186	"Embryo_D7A1B5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774479"	SRX6774479	"Tianqing Li"	"Nov 26, 2019"
GSM4050187	"Embryo_D7A1B7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774480"	SRX6774480	"Tianqing Li"	"Nov 26, 2019"
GSM4050188	"Embryo_D7A1B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774481"	SRX6774481	"Tianqing Li"	"Nov 26, 2019"
GSM4050189	"Embryo_D7A1S11"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774482"	SRX6774482	"Tianqing Li"	"Nov 26, 2019"
GSM4050190	"Embryo_D7A1S13"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774483"	SRX6774483	"Tianqing Li"	"Nov 26, 2019"
GSM4050191	"Embryo_D7A1S14"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774484"	SRX6774484	"Tianqing Li"	"Nov 26, 2019"
GSM4050192	"Embryo_D7A1S15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774485"	SRX6774485	"Tianqing Li"	"Nov 26, 2019"
GSM4050193	"Embryo_D7A1S16"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774486"	SRX6774486	"Tianqing Li"	"Nov 26, 2019"
GSM4050194	"Embryo_D7A1S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774495"	SRX6774495	"Tianqing Li"	"Nov 26, 2019"
GSM4050195	"Embryo_D7A1S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774496"	SRX6774496	"Tianqing Li"	"Nov 26, 2019"
GSM4050196	"Embryo_D7A1S6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774497"	SRX6774497	"Tianqing Li"	"Nov 26, 2019"
GSM4050197	"Embryo_D7A1S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774498"	SRX6774498	"Tianqing Li"	"Nov 26, 2019"
GSM4050198	"Embryo_D7A1S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774499"	SRX6774499	"Tianqing Li"	"Nov 26, 2019"
GSM4050199	"Embryo_D7A1S9"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774500"	SRX6774500	"Tianqing Li"	"Nov 26, 2019"
GSM4050200	"Embryo_D7A2B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774501"	SRX6774501	"Tianqing Li"	"Nov 26, 2019"
GSM4050201	"Embryo_D7A2B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774502"	SRX6774502	"Tianqing Li"	"Nov 26, 2019"
GSM4050202	"Embryo_D7A2B5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774511"	SRX6774511	"Tianqing Li"	"Nov 26, 2019"
GSM4050203	"Embryo_D7A2B6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774512"	SRX6774512	"Tianqing Li"	"Nov 26, 2019"
GSM4050204	"Embryo_D7A2B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774513"	SRX6774513	"Tianqing Li"	"Nov 26, 2019"
GSM4050205	"Embryo_D7A2S10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774514"	SRX6774514	"Tianqing Li"	"Nov 26, 2019"
GSM4050206	"Embryo_D7A2S14"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774515"	SRX6774515	"Tianqing Li"	"Nov 26, 2019"
GSM4050207	"Embryo_D7A2S16"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774516"	SRX6774516	"Tianqing Li"	"Nov 26, 2019"
GSM4050208	"Embryo_D7A2S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774517"	SRX6774517	"Tianqing Li"	"Nov 26, 2019"
GSM4050209	"Embryo_D7A2S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774518"	SRX6774518	"Tianqing Li"	"Nov 26, 2019"
GSM4050210	"Embryo_D7A2S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774527"	SRX6774527	"Tianqing Li"	"Nov 26, 2019"
GSM4050211	"Embryo_D7A2S6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774528"	SRX6774528	"Tianqing Li"	"Nov 26, 2019"
GSM4050212	"Embryo_D7A3B10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774529"	SRX6774529	"Tianqing Li"	"Nov 26, 2019"
GSM4050213	"Embryo_D7A3B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774530"	SRX6774530	"Tianqing Li"	"Nov 26, 2019"
GSM4050214	"Embryo_D7A3B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774531"	SRX6774531	"Tianqing Li"	"Nov 26, 2019"
GSM4050215	"Embryo_D7A3B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774532"	SRX6774532	"Tianqing Li"	"Nov 26, 2019"
GSM4050216	"Embryo_D7A3S10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774533"	SRX6774533	"Tianqing Li"	"Nov 26, 2019"
GSM4050217	"Embryo_D7A3S12"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774534"	SRX6774534	"Tianqing Li"	"Nov 26, 2019"
GSM4050218	"Embryo_D7A3S14"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774543"	SRX6774543	"Tianqing Li"	"Nov 26, 2019"
GSM4050219	"Embryo_D7A3S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774544"	SRX6774544	"Tianqing Li"	"Nov 26, 2019"
GSM4050220	"Embryo_D7A3S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774545"	SRX6774545	"Tianqing Li"	"Nov 26, 2019"
GSM4050221	"Embryo_D7A3S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774546"	SRX6774546	"Tianqing Li"	"Nov 26, 2019"
GSM4050222	"Embryo_D7A3S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774547"	SRX6774547	"Tianqing Li"	"Nov 26, 2019"
GSM4050223	"Embryo_D7A3S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774548"	SRX6774548	"Tianqing Li"	"Nov 26, 2019"
GSM4050224	"Embryo_D7A4B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774549"	SRX6774549	"Tianqing Li"	"Nov 26, 2019"
GSM4050225	"Embryo_D7A4B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774550"	SRX6774550	"Tianqing Li"	"Nov 26, 2019"
GSM4050226	"Embryo_D7A4B5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774559"	SRX6774559	"Tianqing Li"	"Nov 26, 2019"
GSM4050227	"Embryo_D7A4B6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774560"	SRX6774560	"Tianqing Li"	"Nov 26, 2019"
GSM4050228	"Embryo_D7A4B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774561"	SRX6774561	"Tianqing Li"	"Nov 26, 2019"
