Sample ID	Day	Embryo ID	Group
D7A1S14	D7	D7A1	ICM
D7A1S15	D7	D7A1	ICM
D7A1S16	D7	D7A1	EPI
D7A1S1	D7	D7A1	ICM
D7A1S5	D7	D7A1	ICM
D7A1S6	D7	D7A1	ICM
D7A1S7	D7	D7A1	CTB
D7A1S8	D7	D7A1	PrE
D7A1S9	D7	D7A1	CTB
D7A2B1	D7	D7A2	ICM
D7A2B4	D7	D7A2	ICM
D7A2B5	D7	D7A2	ICM
D7A2B6	D7	D7A2	CTB
D7A2B8	D7	D7A2	CTB
D7A2S10	D7	D7A2	CTB
D7A2S14	D7	D7A2	ICM
D7A2S16	D7	D7A2	CTB
D7A2S1	D7	D7A2	ICM
D7A2S2	D7	D7A2	ICM
D7A2S3	D7	D7A2	ICM
D7A2S6	D7	D7A2	CTB
D7A3B10	D7	D7A3	CTB
D7A3B1	D7	D7A3	CTB
D7A3B3	D7	D7A3	CTB
D7A3B8	D7	D7A3	EPI
D7A3S10	D7	D7A3	CTB
D7A3S12	D7	D7A3	CTB
D7A3S14	D7	D7A3	CTB
D7A3S1	D7	D7A3	CTB
D7A3S3	D7	D7A3	CTB
D7A3S4	D7	D7A3	CTB
D7A3S5	D7	D7A3	CTB
D7A3S8	D7	D7A3	EPI
D7A4B2	D7	D7A4	PrE
D7A4B3	D7	D7A4	CTB
D7A4B5	D7	D7A4	CTB
D7A4B6	D7	D7A4	CTB
D7A4B8	D7	D7A4	CTB
D7A4S12	D7	D7A4	PrE
D7A4S13	D7	D7A4	CTB
D7A4S14	D7	D7A4	CTB
D7A4S15	D7	D7A4	CTB
D7A4S1	D7	D7A4	CTB
D7A4S2	D7	D7A4	PrE
D7A4S7	D7	D7A4	PrE
D7N1B1	D7	D7N1	EPI
D7N1S7	D7	D7N1	EPI
D7N1S9	D7	D7N1	EPI
D7N1B5	D7	D7N1	ICM
D7N1B7	D7	D7N1	EPI
D7N1B9	D7	D7N1	EPI
D7N1S15	D7	D7N1	EPI
D7N1S18	D7	D7N1	ICM
D7N1S19	D7	D7N1	EPI
D7N1S21	D7	D7N1	EPI
D7N1S24	D7	D7N1	EPI
D7N1S27	D7	D7N1	EPI
D7N1S30	D7	D7N1	EPI
D8_8B1	D8	D8_8	EPI
D8_8B2	D8	D8_8	CTB
D8_8B3	D8	D8_8	PrE
D8_8B4	D8	D8_8	CTB
D8_8S1	D8	D8_8	CTB
D8_8S2	D8	D8_8	EPI
D8_8S3	D8	D8_8	CTB
D8_8S4	D8	D8_8	CTB
D8_8S5	D8	D8_8	CTB
D8_8S6	D8	D8_8	CTB
D8_8S7	D8	D8_8	CTB
D8_8S8	D8	D8_8	CTB
D8A1B10	D8	D8A1	STB
D8A1B2	D8	D8A1	CTB
D8A1B3	D8	D8A1	CTB
D8A1B4	D8	D8A1	STB
D8A1B6	D8	D8A1	CTB
D8A1S11	D8	D8A1	EPI
D8A1S1	D8	D8A1	CTB
D8A1S24	D8	D8A1	EPI
D8A1S31	D8	D8A1	EPI
D8A1S3	D8	D8A1	CTB
D8A1S7	D8	D8A1	CTB
D8A1S8	D8	D8A1	EPI
D8A2B1	D8	D8A2	STB
D8A2B2	D8	D8A2	CTB
D8A2B5	D8	D8A2	STB
D8A2S10	D8	D8A2	EPI
D8A2S12	D8	D8A2	CTB
D8A2S15	D8	D8A2	EPI
D8A2S1	D8	D8A2	STB
D8A2S24	D8	D8A2	CTB
D8A2S29	D8	D8A2	EPI
D8A2S2	D8	D8A2	EPI
D8A2S3	D8	D8A2	CTB
D8A2S4	D8	D8A2	CTB
D8A3B10	D8	D8A3	STB
D8A3B11	D8	D8A3	PrE
D8A3B1	D8	D8A3	STB
D8A3B4	D8	D8A3	STB
D8A3S12	D8	D8A3	CTB
D8A3S13	D8	D8A3	STB
D8A3S1	D8	D8A3	STB
D8A3S28	D8	D8A3	STB
D8A3S2	D8	D8A3	CTB
D8A3S5	D8	D8A3	STB
D8A3S7	D8	D8A3	CTB
D8A3S8	D8	D8A3	STB
D8A5B7	D8	D8A5	CTB
D8A5B8	D8	D8A5	CTB
D8A5S14	D8	D8A5	CTB
D8A5S1	D8	D8A5	CTB
D8A5S4	D8	D8A5	CTB
D8A6B1	D8	D8A6	CTB
D8A6B3	D8	D8A6	CTB
D8A6B6	D8	D8A6	CTB
D8A6S15	D8	D8A6	CTB
D8A6S5	D8	D8A6	CTB
D8A6S7	D8	D8A6	EPI
D9A1B1	D9	D9A1	CTB
D9A1B15	D9	D9A1	STB
D9A1B16	D9	D9A1	CTB
D9A1B2	D9	D9A1	STB
D9A1B3	D9	D9A1	CTB
D9A1B4	D9	D9A1	STB
D9A1S1	D9	D9A1	STB
D9A1S10	D9	D9A1	EPI
D9A1S2	D9	D9A1	CTB
D9A1S23	D9	D9A1	CTB
D9A1S26	D9	D9A1	CTB
D9A1S28	D9	D9A1	EPI
D9A1S3	D9	D9A1	CTB
D9A1S7	D9	D9A1	CTB
D9A1S8	D9	D9A1	CTB
D9A2B1	D9	D9A2	STB
D9A2B2	D9	D9A2	STB
D9A2B3	D9	D9A2	CTB
D9A2B5	D9	D9A2	CTB
D9A2B8	D9	D9A2	CTB
D9A2S1	D9	D9A2	CTB
D9A2S2	D9	D9A2	CTB
D9A2S3	D9	D9A2	CTB
D9A2S4	D9	D9A2	CTB
D9A2S6	D9	D9A2	PrE
D9A3B1	D9	D9A3	CTB
D9A3B2	D9	D9A3	STB
D9A3B3	D9	D9A3	STB
D9A3B4	D9	D9A3	STB
D9A3B7	D9	D9A3	CTB
D9A3S1	D9	D9A3	CTB
D9A3S11	D9	D9A3	STB
D9A3S14	D9	D9A3	EPI
D9A3S15	D9	D9A3	STB
D9A3S2	D9	D9A3	CTB
D9A3S3	D9	D9A3	CTB
D9A4B2	D9	D9A4	CTB
D9A4B4	D9	D9A4	CTB
D9A4B7	D9	D9A4	CTB
D9A4B8	D9	D9A4	CTB
D9A4S1	D9	D9A4	EPI
D9A4S10	D9	D9A4	CTB
D9A4S11	D9	D9A4	CTB
D9A4S6	D9	D9A4	CTB
D9A4S7	D9	D9A4	CTB
D9A4S9	D9	D9A4	CTB
D9A5B5	D9	D9A5	CTB
D9A5S12	D9	D9A5	EPI
D9A5S3	D9	D9A5	CTB
D9A5S6	D9	D9A5	STB
D9A5S8	D9	D9A5	CTB
D9A5S9	D9	D9A5	EPI
D9A6B1	D9	D9A6	STB
D9A6B6	D9	D9A6	CTB
D9A6B8	D9	D9A6	CTB
D9A6S10	D9	D9A6	CTB
D9A6S14	D9	D9A6	CTB
D9A6S15	D9	D9A6	CTB
D9A6S5	D9	D9A6	CTB
D9A6S9	D9	D9A6	PrE
D9A4B1	D9	D9A4	PrE
D9A4S14	D9	D9A4	ICM
D9A4S16	D9	D9A4	EPI
D9A4S3	D9	D9A4	EPI
D9A4S4	D9	D9A4	ICM
D9A4S5	D9	D9A4	EPI
D9A5S10	D9	D9A5	CTB
D9A5S11	D9	D9A5	EPI
D10A4S4	D10	D10A4	STB
D10A1B11	D10	D10A1	STB
D10A1B17	D10	D10A1	CTB
D10A1B1	D10	D10A1	STB
D10A1B2	D10	D10A1	STB
D10A1B3	D10	D10A1	STB
D10A1B4	D10	D10A1	STB
D10A1B5	D10	D10A1	STB
D10A1B7	D10	D10A1	STB
D10A1B8	D10	D10A1	STB
D10A1S10	D10	D10A1	CTB
D10A1S11	D10	D10A1	CTB
D10A1S12	D10	D10A1	CTB
D10A1S13	D10	D10A1	STB
D10A1S1	D10	D10A1	CTB
D10A1S21	D10	D10A1	EPI
D10A1S23	D10	D10A1	EPI
D10A1S2	D10	D10A1	STB
D10A1S31	D10	D10A1	EPI
D10A1S32	D10	D10A1	EPI
D10A1S34	D10	D10A1	EPI
D10A1S3	D10	D10A1	CTB
D10A1S40	D10	D10A1	EPI
D10A1S4	D10	D10A1	STB
D10A1S6	D10	D10A1	EPI
D10A1S7	D10	D10A1	CTB
D10A1S9	D10	D10A1	CTB
D10A2B1	D10	D10A2	STB
D10A2B2	D10	D10A2	CTB
D10A2B3	D10	D10A2	STB
D10A2B4	D10	D10A2	STB
D10A2B6	D10	D10A2	STB
D10A2S17	D10	D10A2	EPI
D10A2S1	D10	D10A2	CTB
D10A2S21	D10	D10A2	CTB
D10A2S24	D10	D10A2	PrE
D10A2S2	D10	D10A2	STB
D10A2S32	D10	D10A2	EPI
D10A2S3	D10	D10A2	EPI
D10A3B17	D10	D10A3	CTB
D10A3B2	D10	D10A3	CTB
D10A3B3	D10	D10A3	STB
D10A3B4	D10	D10A3	CTB
D10A3B5	D10	D10A3	CTB
D10A3B6	D10	D10A3	STB
D10A3B7	D10	D10A3	CTB
D10A3B8	D10	D10A3	STB
D10A3B9	D10	D10A3	CTB
D10A3S10	D10	D10A3	STB
D10A3S18	D10	D10A3	STB
D10A3S1	D10	D10A3	CTB
D10A3S2	D10	D10A3	CTB
D10A3S35	D10	D10A3	CTB
D10A3S7	D10	D10A3	CTB
D10A3S9	D10	D10A3	CTB
D10A4B3	D10	D10A4	CTB
D10A4B7	D10	D10A4	STB
D10A4B8	D10	D10A4	STB
D10A4S11	D10	D10A4	STB
D10A4S14	D10	D10A4	CTB
D10A4S16	D10	D10A4	CTB
D10A4S7	D10	D10A4	CTB
D10A4S8	D10	D10A4	STB
D10A4S9	D10	D10A4	CTB
D10A5B1	D10	D10A5	STB
D10A5B3	D10	D10A5	STB
D10A5B8	D10	D10A5	STB
D10A5S12	D10	D10A5	CTB
D10A5S16	D10	D10A5	STB
D10A5S3	D10	D10A5	CTB
D10A6S10	D10	D10A6	CTB
D10A6S14	D10	D10A6	PrE
D10A6S1	D10	D10A6	PrE
D10A6S4	D10	D10A6	EPI
D10A6S5	D10	D10A6	EPI
D10A6S7	D10	D10A6	EPI
D10A6S8	D10	D10A6	EPI
D12A3B10	D12	D12A3	STB
D12A3B11	D12	D12A3	STB
D12A3B12	D12	D12A3	STB
D12A3B13	D12	D12A3	STB
D12A3B14	D12	D12A3	EPI
D12A3B15	D12	D12A3	STB
D12A3B16	D12	D12A3	STB
D12A3B1	D12	D12A3	PrE
D12A3B2	D12	D12A3	STB
D12A3B3	D12	D12A3	STB
D12A3B4	D12	D12A3	CTB
D12A3B5	D12	D12A3	STB
D12A3B6	D12	D12A3	STB
D12A3B7	D12	D12A3	STB
D12A3B8	D12	D12A3	STB
D12A3B9	D12	D12A3	STB
D12A3S10	D12	D12A3	EPI
D12A3S11	D12	D12A3	CTB
D12A3S12	D12	D12A3	CTB
D12A3S13	D12	D12A3	EPI
D12A3S14	D12	D12A3	STB
D12A3S15	D12	D12A3	EPI
D12A3S16	D12	D12A3	EPI
D12A3S17	D12	D12A3	CTB
D12A3S18	D12	D12A3	CTB
D12A3S19	D12	D12A3	CTB
D12A3S1	D12	D12A3	STB
D12A3S20	D12	D12A3	CTB
D12A3S21	D12	D12A3	CTB
D12A3S22	D12	D12A3	STB
D12A3S23	D12	D12A3	EPI
D12A3S24	D12	D12A3	EPI
D12A3S25	D12	D12A3	CTB
D12A3S26	D12	D12A3	EPI
D12A3S27	D12	D12A3	EPI
D12A3S28	D12	D12A3	CTB
D12A3S29	D12	D12A3	STB
D12A3S2	D12	D12A3	EPI
D12A3S30	D12	D12A3	STB
D12A3S31	D12	D12A3	CTB
D12A3S32	D12	D12A3	EPI
D12A3S3	D12	D12A3	EPI
D12A3S4	D12	D12A3	CTB
D12A3S5	D12	D12A3	CTB
D12A3S6	D12	D12A3	CTB
D12A3S7	D12	D12A3	STB
D12A3S8	D12	D12A3	CTB
D12A3S9	D12	D12A3	CTB
D12A4B15	D12	D12A4	STB
D12A4B16	D12	D12A4	STB
D12A4B5	D12	D12A4	STB
D12A4B8	D12	D12A4	STB
D12A4B9	D12	D12A4	STB
D12A4S12	D12	D12A4	CTB
D12A4S16	D12	D12A4	CTB
D12A4S17	D12	D12A4	CTB
D12A4S21	D12	D12A4	STB
D12A4S22	D12	D12A4	EPI
D12A4S26	D12	D12A4	EPI
D12A4S29	D12	D12A4	EPI
D12A4S2	D12	D12A4	CTB
D12A4S30	D12	D12A4	EPI
D12A4S7	D12	D12A4	EPI
D12A4S9	D12	D12A4	CTB
D12A5B11	D12	D12A5	PrE
D12A5B15	D12	D12A5	STB
D12A5B5	D12	D12A5	EVT
D12A5B6	D12	D12A5	CTB
D12A5B9	D12	D12A5	STB
D12A5S13	D12	D12A5	CTB
D12A5S16	D12	D12A5	EPI
D12A5S17	D12	D12A5	PrE
D12A5S18	D12	D12A5	CTB
D12A5S19	D12	D12A5	EPI
D12A5S1	D12	D12A5	PrE
D12A5S20	D12	D12A5	PrE
D12A5S24	D12	D12A5	PrE
D12A5S25	D12	D12A5	PrE
D12A5S30	D12	D12A5	PrE
D12A5S4	D12	D12A5	PrE
D12A5S5	D12	D12A5	EPI
D12A5S6	D12	D12A5	EPI
D12_1B3	D12	D12_1	EVT
D12_1B4	D12	D12_1	STB
D12_2B2	D12	D12_2	EVT
D12_2B9	D12	D12_2	EVT
D12_2S1	D12	D12_2	STB
D12A4S27	D12	D12A4	EPI
D14_1B1	D14	D14_1	EVT
D14_1B2	D14	D14_1	STB
D14_1B5	D14	D14_1	EVT
D14_1S10	D14	D14_1	STB
D14_1S2	D14	D14_1	EVT
D14_2S1	D14	D14_2	EVT
D14_3B5	D14	D14_3	EVT
D14_3B6	D14	D14_3	EVT
D14_3S10	D14	D14_3	EPI
D14_3S15	D14	D14_3	EPI
D14_3S16	D14	D14_3	EPI
D14_3S9	D14	D14_3	CTB
D14_2S2	D14	D14_2	STB
D14_2B1	D14	D14_2	EVT
D14_2B3	D14	D14_2	EVT
D14A1B10	D14	D14A1	STB
D14A1B11	D14	D14A1	PSA-EPI
D14A1B12	D14	D14A1	STB
D14A1B13	D14	D14A1	PSA-EPI
D14A1B14	D14	D14A1	PSA-EPI
D14A1B15	D14	D14A1	PSA-EPI
D14A1B16	D14	D14A1	PSA-EPI
D14A1B17	D14	D14A1	EVT
D14A1B18	D14	D14A1	STB
D14A1B19	D14	D14A1	EVT
D14A1B1	D14	D14A1	PSA-EPI
D14A1B20	D14	D14A1	STB
D14A1B21	D14	D14A1	PrE
D14A1B22	D14	D14A1	STB
D14A1B23	D14	D14A1	STB
D14A1B24	D14	D14A1	STB
D14A1B25	D14	D14A1	STB
D14A1B26	D14	D14A1	STB
D14A1B27	D14	D14A1	EPI
D14A1B28	D14	D14A1	EPI
D14A1B2	D14	D14A1	PSA-EPI
D14A1B3	D14	D14A1	PSA-EPI
D14A1B4	D14	D14A1	PSA-EPI
D14A1B5	D14	D14A1	PSA-EPI
D14A1B6	D14	D14A1	PSA-EPI
D14A1B7	D14	D14A1	PSA-EPI
D14A1B8	D14	D14A1	PSA-EPI
D14A1B9	D14	D14A1	PSA-EPI
D14A1S10	D14	D14A1	PSA-EPI
D14A1S11	D14	D14A1	PSA-EPI
D14A1S12	D14	D14A1	PSA-EPI
D14A1S13	D14	D14A1	PSA-EPI
D14A1S14	D14	D14A1	PSA-EPI
D14A1S15	D14	D14A1	PSA-EPI
D14A1S16	D14	D14A1	PSA-EPI
D14A1S17	D14	D14A1	PSA-EPI
D14A1S18	D14	D14A1	PSA-EPI
D14A1S19	D14	D14A1	PSA-EPI
D14A1S1	D14	D14A1	PSA-EPI
D14A1S20	D14	D14A1	EPI
D14A1S21	D14	D14A1	PSA-EPI
D14A1S22	D14	D14A1	PSA-EPI
D14A1S23	D14	D14A1	PSA-EPI
D14A1S24	D14	D14A1	PSA-EPI
D14A1S25	D14	D14A1	PSA-EPI
D14A1S26	D14	D14A1	PSA-EPI
D14A1S27	D14	D14A1	PSA-EPI
D14A1S28	D14	D14A1	PSA-EPI
D14A1S29	D14	D14A1	PSA-EPI
D14A1S2	D14	D14A1	PSA-EPI
D14A1S30	D14	D14A1	PSA-EPI
D14A1S31	D14	D14A1	PSA-EPI
D14A1S32	D14	D14A1	PSA-EPI
D14A1S33	D14	D14A1	EPI
D14A1S34	D14	D14A1	STB
D14A1S36	D14	D14A1	STB
D14A1S39	D14	D14A1	EPI
D14A1S3	D14	D14A1	PSA-EPI
D14A1S41	D14	D14A1	EPI
D14A1S42	D14	D14A1	EPI
D14A1S43	D14	D14A1	EPI
D14A1S44	D14	D14A1	STB
D14A1S45	D14	D14A1	EPI
D14A1S46	D14	D14A1	EPI
D14A1S47	D14	D14A1	EPI
D14A1S48	D14	D14A1	EPI
D14A1S51	D14	D14A1	EPI
D14A1S53	D14	D14A1	STB
D14A1S56	D14	D14A1	EPI
D14A1S57	D14	D14A1	EPI
D14A1S58	D14	D14A1	EPI
D14A1S59	D14	D14A1	EPI
D14A1S5	D14	D14A1	PSA-EPI
D14A1S60	D14	D14A1	EPI
D14A1S61	D14	D14A1	EPI
D14A1S62	D14	D14A1	EPI
D14A1S63	D14	D14A1	STB
D14A1S64	D14	D14A1	EPI
D14A1S6	D14	D14A1	PSA-EPI
D14A1S7	D14	D14A1	PSA-EPI
D14A1S8	D14	D14A1	PSA-EPI
D14A1S9	D14	D14A1	PSA-EPI
D14A2B12	D14	D14A2	EVT
D14A2B13	D14	D14A2	EVT
D14A2B16	D14	D14A2	STB
D14A2B1	D14	D14A2	EVT
D14A2B2	D14	D14A2	EVT
D14A2B4	D14	D14A2	STB
D14A2B7	D14	D14A2	STB
D14A2B9	D14	D14A2	EVT
D14A2S13	D14	D14A2	EVT
D14A2S15	D14	D14A2	CTB
D14A2S17	D14	D14A2	EVT
D14A2S19	D14	D14A2	STB
D14A2S1	D14	D14A2	EVT
D14A2S21	D14	D14A2	EVT
D14A2S23	D14	D14A2	EVT
D14A2S27	D14	D14A2	EVT
D14A2S28	D14	D14A2	EVT
D14A2S29	D14	D14A2	STB
D14A2S5	D14	D14A2	EVT
D14A2S6	D14	D14A2	EVT
D14A3B10	D14	D14A3	EVT
D14A3B12	D14	D14A3	EVT
D14A3B14	D14	D14A3	STB
D14A3B2	D14	D14A3	EVT
D14A3B7	D14	D14A3	EVT
D14A3S14	D14	D14A3	EVT
D14A3S18	D14	D14A3	STB
D14A3S19	D14	D14A3	EVT
D14A3S20	D14	D14A3	EPI
D14A3S23	D14	D14A3	EVT
D14A3S25	D14	D14A3	CTB
D14A3S26	D14	D14A3	EVT
D14A3S27	D14	D14A3	CTB
D14A3S28	D14	D14A3	EVT
D14A3S29	D14	D14A3	EPI
D14A3S30	D14	D14A3	EVT
D14A3S5	D14	D14A3	CTB
D14A3S7	D14	D14A3	EVT
D14A3S8	D14	D14A3	EVT
