Run_accession	Sample.Name	Embryo.Name	Lineage	Sex	Day	Embryo
HRR052700	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_21	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052701	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_27	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052702	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_28	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052703	Epi_Female_hv_Vol12_D10_IVC4_E7_B2_32	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052704	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_35	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052705	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_36	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052706	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_38	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052707	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_60	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052708	EPI_Female_hv_Vol12_D10_IVC4_E7_B2_80	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052709	Epi_Female_hv_Vol12_D10_IVC4_E7_B2_9	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052710	EPI_Female_hv_Vol12_D10_IVC4_E7_B4_84	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052711	EPI_Female_hv_Vol12_D10_IVC4_E7_B4_87	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052712	EPI_Female_hv_Vol13_D8_IVC2_E2_B1_40	Female_hv_Vol13_D8_IVC2_E2	EPI	Female	D08	E02
HRR052713	EPI_Female_hv_Vol13_D8_IVC2_E2_B2_83	Female_hv_Vol13_D8_IVC2_E2	EPI	Female	D08	E02
HRR052714	EPI_Female_hv_Vol13_D8_IVC2_E2_B2_84	Female_hv_Vol13_D8_IVC2_E2	EPI	Female	D08	E02
HRR052715	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_11	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052716	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_18	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052717	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_24	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052718	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_25	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052719	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_27	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052720	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_3	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052721	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_6	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052722	Epi_Female_hv_Vol14_D12_IVC7_E1_B1_8	Female_hv_Vol14_D12_IVC7_E1	EPI	Female	D12	E01
HRR052723	EPI_Female_hv_Vol14_D8_IVC2_E1_B1_20	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052724	EPI_Female_hv_Vol14_D8_IVC2_E1_B1_29	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052725	Epi_Female_hv_Vol14_D8_IVC2_E1_B1_35	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052726	EPI_Female_hv_Vol14_D8_IVC2_E1_B1_40	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052727	EPI_Female_hv_Vol14_D8_IVC2_E1_B2_17	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052728	Epi_Female_hv_Vol14_D8_IVC2_E1_B2_25	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052729	Epi_Female_hv_Vol14_D8_IVC2_E1_B2_26	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052730	Epi_Female_hv_Vol14_D8_IVC2_E1_B2_27	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052731	EPI_Female_hv_Vol14_D8_IVC2_E1_B2_39	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052732	EPI_Female_hv_Vol14_D8_IVC2_E1_B2_52	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052733	EPI_Female_hv_Vol14_D8_IVC2_E1_B2_55	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052734	EPI_Female_hv_Vol14_D8_IVC2_E1_B2_69	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052735	Epi_Female_hv_Vol14_D8_IVC2_E1_B2_94	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052736	Epi_Female_hv_Vol14_D8_IVC2_E1_B3_12	Female_hv_Vol14_D8_IVC2_E1	EPI	Female	D08	E01
HRR052737	Epi_Female_tri_Vol12_D8_IVC2_E3_B1_14	Female_tri_Vol12_D8_IVC2_E3	EPI	Female	D08	E03
HRR052738	Epi_Female_tri_Vol13_D10_IVC5_E3_B3_14	Female_tri_Vol13_D10_IVC5_E3	EPI	Female	D10	E03
HRR052739	Epi_Female_tri_Vol13_D10_IVC5_E3_B4_17	Female_tri_Vol13_D10_IVC5_E3	EPI	Female	D10	E03
HRR052740	Epi_Female_tri_Vol15_D6_IVC1_E12_B1_19	Female_tri_Vol15_D6_IVC1_E12	EPI	Female	D06	E12
HRR052741	Epi_Female_tri_Vol15_D6_IVC1_E12_B1_27	Female_tri_Vol15_D6_IVC1_E12	EPI	Female	D06	E12
HRR052742	Epi_Female_tri_Vol15_D6_IVC1_E12_B1_30	Female_tri_Vol15_D6_IVC1_E12	EPI	Female	D06	E12
HRR052743	Epi_Female_tri_Vol15_D6_IVC1_E12_B1_33	Female_tri_Vol15_D6_IVC1_E12	EPI	Female	D06	E12
HRR052744	Epi_Female_tri_Vol15_D6_IVC1_E12_B1_63	Female_tri_Vol15_D6_IVC1_E12	EPI	Female	D06	E12
HRR052745	Epi_Female_tri_Vol15_D6_IVC1_E12_B1_71	Female_tri_Vol15_D6_IVC1_E12	EPI	Female	D06	E12
HRR052746	Epi_Male_hv_Vol12_D10_IVC5_E6_B1_18	Male_hv_Vol12_D10_IVC5_E6	EPI	Male	D10	E06
HRR052747	Epi_Male_hv_Vol12_D10_IVC5_E6_B1_31	Male_hv_Vol12_D10_IVC5_E6	EPI	Male	D10	E06
HRR052748	Epi_Male_hv_Vol12_D10_IVC5_E6_B1_39	Male_hv_Vol12_D10_IVC5_E6	EPI	Male	D10	E06
HRR052749	Epi_Male_hv_Vol12_D10_IVC5_E6_B1_45	Male_hv_Vol12_D10_IVC5_E6	EPI	Male	D10	E06
HRR052750	Epi_Male_hv_Vol12_D10_IVC5_E6_B2_14	Male_hv_Vol12_D10_IVC5_E6	EPI	Male	D10	E06
HRR052751	Epi_Male_hv_Vol12_D10_IVC5_E6_B2_61	Male_hv_Vol12_D10_IVC5_E6	EPI	Male	D10	E06
HRR052757	PE_Female_hv_Vol12_D10_IVC4_E7_B1_10	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052758	PE_Female_hv_Vol12_D10_IVC4_E7_B1_20	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052759	PE_Female_hv_Vol12_D10_IVC4_E7_B1_60	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052760	PE_Female_hv_Vol12_D10_IVC4_E7_B1_67	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052761	PE_Female_hv_Vol12_D10_IVC4_E7_B1_70	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052762	PE_Female_hv_Vol12_D10_IVC4_E7_B1_85	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052763	PE_Female_hv_Vol12_D10_IVC4_E7_B1_96	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052764	PE_Female_hv_Vol12_D10_IVC4_E7_B2_15	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052765	PE_Female_hv_Vol12_D10_IVC4_E7_B2_30	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052766	PE_Female_hv_Vol12_D10_IVC4_E7_B2_63	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052767	PE_Female_hv_Vol12_D10_IVC4_E7_B2_89	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052768	PE_Female_hv_Vol12_D10_IVC4_E7_B2_90	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052769	PE_Female_hv_Vol12_D10_IVC4_E7_B2_91	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052770	PE_Female_hv_Vol12_D10_IVC4_E7_B2_94	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052771	PE_Female_hv_Vol12_D10_IVC4_E7_B3_54	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052772	PE_Female_hv_Vol12_D10_IVC4_E7_B3_56	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052773	PE_Female_hv_Vol12_D10_IVC4_E7_B3_82	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052774	PE_Female_hv_Vol12_D10_IVC4_E7_B3_83	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052775	PE_Female_hv_Vol12_D10_IVC4_E7_B4_49	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052776	PE_Female_hv_Vol12_D10_IVC4_E7_B4_50	Female_hv_Vol12_D10_IVC4_E7	PE	Female	D10	E07
HRR052777	PE_Female_hv_Vol13_D8_IVC2_E2_B1_1	Female_hv_Vol13_D8_IVC2_E2	PE	Female	D08	E02
HRR052778	PE_Female_hv_Vol13_D8_IVC2_E2_B1_24	Female_hv_Vol13_D8_IVC2_E2	PE	Female	D08	E02
HRR052779	PE_Female_hv_Vol13_D8_IVC2_E2_B1_45	Female_hv_Vol13_D8_IVC2_E2	PE	Female	D08	E02
HRR052780	PE_Female_hv_Vol13_D8_IVC2_E2_B2_39	Female_hv_Vol13_D8_IVC2_E2	PE	Female	D08	E02
HRR052781	PE_Female_hv_Vol14_D12_IVC7_E1_B1_15	Female_hv_Vol14_D12_IVC7_E1	PE	Female	D12	E01
HRR052782	PE_Female_hv_Vol14_D12_IVC7_E1_B1_1	Female_hv_Vol14_D12_IVC7_E1	PE	Female	D12	E01
HRR052783	PE_Female_hv_Vol14_D12_IVC7_E1_B1_20	Female_hv_Vol14_D12_IVC7_E1	PE	Female	D12	E01
HRR052784	PE_Female_hv_Vol14_D12_IVC7_E1_B1_37	Female_hv_Vol14_D12_IVC7_E1	PE	Female	D12	E01
HRR052785	PE_Female_hv_Vol14_D12_IVC7_E1_B1_45	Female_hv_Vol14_D12_IVC7_E1	PE	Female	D12	E01
HRR052786	PE_Female_hv_Vol14_D6_IVC1_E1_B1_41	Female_hv_Vol14_D6_IVC1_E1	PE	Female	D06	E01
HRR052787	PE_Female_hv_Vol14_D6_IVC1_E1_B1_42	Female_hv_Vol14_D6_IVC1_E1	PE	Female	D06	E01
HRR052788	PE_Female_hv_Vol14_D6_IVC1_E1_B1_47	Female_hv_Vol14_D6_IVC1_E1	PE	Female	D06	E01
HRR052789	PE_Female_hv_Vol14_D6_IVC1_E1_B1_50	Female_hv_Vol14_D6_IVC1_E1	PE	Female	D06	E01
HRR052790	PE_Female_hv_Vol14_D6_IVC1_E1_B1_51	Female_hv_Vol14_D6_IVC1_E1	PE	Female	D06	E01
HRR052791	PE_Female_hv_Vol14_D6_IVC1_E1_B1_53	Female_hv_Vol14_D6_IVC1_E1	PE	Female	D06	E01
HRR052792	PE_Female_hv_Vol14_D8_IVC2_E1_B1_72	Female_hv_Vol14_D8_IVC2_E1	PE	Female	D08	E01
HRR052793	PE_Female_hv_Vol14_D8_IVC2_E1_B3_10	Female_hv_Vol14_D8_IVC2_E1	PE	Female	D08	E01
HRR052794	PE_Female_hv_Vol14_D8_IVC2_E1_B3_11	Female_hv_Vol14_D8_IVC2_E1	PE	Female	D08	E01
HRR052795	PE_Female_hv_Vol14_D8_IVC2_E1_B3_44	Female_hv_Vol14_D8_IVC2_E1	PE	Female	D08	E01
HRR052796	PE_Female_hv_Vol14_D8_IVC2_E1_B3_65	Female_hv_Vol14_D8_IVC2_E1	PE	Female	D08	E01
HRR052797	PE_Female_hv_Vol14_D8_IVC2_E1_B4_39	Female_hv_Vol14_D8_IVC2_E1	PE	Female	D08	E01
HRR052798	PE_Female_tri_Vol12_D12_IVC7_E1_B2_27	Female_tri_Vol12_D12_IVC7_E1	PE	Female	D12	E01
HRR052799	PE_Female_tri_Vol12_D12_IVC7_E1_B2_54	Female_tri_Vol12_D12_IVC7_E1	PE	Female	D12	E01
HRR052800	PE_Female_tri_Vol12_D12_IVC7_E1_B2_56	Female_tri_Vol12_D12_IVC7_E1	PE	Female	D12	E01
HRR052801	PE_Female_tri_Vol12_D8_IVC2_E3_B1_81	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052802	PE_Female_tri_Vol12_D8_IVC2_E3_B2_83	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052803	PE_Female_tri_Vol12_D8_IVC2_E3_B3_10	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052804	PE_Female_tri_Vol12_D8_IVC2_E3_B3_12	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052805	PE_Female_tri_Vol12_D8_IVC2_E3_B3_13	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052806	PE_Female_tri_Vol12_D8_IVC2_E3_B3_14	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052807	PE_Female_tri_Vol12_D8_IVC2_E3_B3_48	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052808	PE_Female_tri_Vol12_D8_IVC2_E3_B4_15	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052809	PE_Female_tri_Vol12_D8_IVC2_E3_B4_21	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052810	PE_Female_tri_Vol12_D8_IVC2_E3_B4_47	Female_tri_Vol12_D8_IVC2_E3	PE	Female	D08	E03
HRR052811	PE_Female_tri_Vol13_D10_IVC5_E3_B2_2	Female_tri_Vol13_D10_IVC5_E3	PE	Female	D10	E03
HRR052812	PE_Male_hm_Vol12_D10_IVC5_E8_B3_49	Male_hm_Vol12_D10_IVC5_E8	PE	Male	D10	E08
HRR052813	PE_Male_hv_Vol12_D10_IVC5_E6_B2_18	Male_hv_Vol12_D10_IVC5_E6	PE	Male	D10	E06
HRR052814	PE_Male_hv_Vol12_D8_IVC3_E4_B1_89	Male_hv_Vol12_D8_IVC3_E4	PE	Male	D08	E04
HRR052815	PE_Male_hv_Vol12_D8_IVC3_E4_B2_44	Male_hv_Vol12_D8_IVC3_E4	PE	Male	D08	E04
HRR052816	PE_Male_hv_Vol12_D8_IVC3_E4_B3_44	Male_hv_Vol12_D8_IVC3_E4	PE	Male	D08	E04
HRR052817	PE_Male_hv_Vol12_D8_IVC3_E4_B3_50	Male_hv_Vol12_D8_IVC3_E4	PE	Male	D08	E04
HRR052818	PE_Male_hv_Vol12_D8_IVC3_E4_B4_36	Male_hv_Vol12_D8_IVC3_E4	PE	Male	D08	E04
HRR052819	PE_Male_hv_Vol12_D8_IVC3_E4_B4_48	Male_hv_Vol12_D8_IVC3_E4	PE	Male	D08	E04
HRR052820	PE_Male_hv_Vol14_D10_IVC5_E4_B1_71	Male_hv_Vol14_D10_IVC5_E4	PE	Male	D10	E04
HRR052821	TE_Female_hv_Vol11_D6_IVC1_E4_B1_11	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052822	TE_Female_hv_Vol11_D6_IVC1_E4_B1_13	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052823	TE_Female_hv_Vol11_D6_IVC1_E4_B1_14	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052824	TE_Female_hv_Vol11_D6_IVC1_E4_B1_1	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052825	TE_Female_hv_Vol11_D6_IVC1_E4_B1_20	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052826	TE_Female_hv_Vol11_D6_IVC1_E4_B1_25	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052827	TE_Female_hv_Vol11_D6_IVC1_E4_B1_26	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052828	TE_Female_hv_Vol11_D6_IVC1_E4_B1_29	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052829	TE_Female_hv_Vol11_D6_IVC1_E4_B1_30	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052830	TE_Female_hv_Vol11_D6_IVC1_E4_B1_35	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052831	TE_Female_hv_Vol11_D6_IVC1_E4_B1_38	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052832	TE_Female_hv_Vol11_D6_IVC1_E4_B1_40	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052833	TE_Female_hv_Vol11_D6_IVC1_E4_B1_44	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052834	TE_Female_hv_Vol11_D6_IVC1_E4_B1_47	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052835	TE_Female_hv_Vol11_D6_IVC1_E4_B1_52	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052836	TE_Female_hv_Vol11_D6_IVC1_E4_B1_53	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052837	TE_Female_hv_Vol11_D6_IVC1_E4_B1_70	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052838	TE_Female_hv_Vol11_D6_IVC1_E4_B1_72	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052839	TE_Female_hv_Vol11_D6_IVC1_E4_B1_7	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052840	TE_Female_hv_Vol11_D6_IVC1_E4_B1_86	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052841	TE_Female_hv_Vol11_D6_IVC1_E4_B1_92	Female_hv_Vol11_D6_IVC1_E4	TE	Female	D06	E04
HRR052842	TE_Female_hv_Vol12_D10_IVC4_E7_B1_31	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052843	TE_Female_hv_Vol12_D10_IVC4_E7_B1_41	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052844	TE_Female_hv_Vol12_D10_IVC4_E7_B1_49	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052845	TE_Female_hv_Vol12_D10_IVC4_E7_B1_57	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052846	TE_Female_hv_Vol12_D10_IVC4_E7_B1_58	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052847	TE_Female_hv_Vol12_D10_IVC4_E7_B1_75	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052848	TE_Female_hv_Vol12_D10_IVC4_E7_B1_82	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052849	TE_Female_hv_Vol12_D10_IVC4_E7_B1_8	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052850	TE_Female_hv_Vol12_D10_IVC4_E7_B1_94	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052851	TE_Female_hv_Vol12_D10_IVC4_E7_B2_19	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052852	TE_Female_hv_Vol12_D10_IVC4_E7_B2_20	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052853	TE_Female_hv_Vol12_D10_IVC4_E7_B2_24	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052854	TE_Female_hv_Vol12_D10_IVC4_E7_B2_70	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052855	TE_Female_hv_Vol12_D10_IVC4_E7_B3_55	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052856	TE_Female_hv_Vol12_D10_IVC4_E7_B3_57	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052857	TE_Female_hv_Vol12_D10_IVC4_E7_B3_63	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052858	TE_Female_hv_Vol12_D10_IVC4_E7_B3_81	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052859	TE_Female_hv_Vol12_D10_IVC4_E7_B4_71	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052860	TE_Female_hv_Vol12_D10_IVC4_E7_B4_79	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052861	TE_Female_hv_Vol12_D10_IVC4_E7_B4_86	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052862	TE_Female_hv_Vol12_D10_IVC4_E7_B4_88	Female_hv_Vol12_D10_IVC4_E7	TE	Female	D10	E07
HRR052863	TE_Female_hv_Vol12_D12_IVC7_E2_B1_16	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052864	TE_Female_hv_Vol12_D12_IVC7_E2_B1_27	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052865	TE_Female_hv_Vol12_D12_IVC7_E2_B1_42	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052866	TE_Female_hv_Vol12_D12_IVC7_E2_B1_45	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052867	TE_Female_hv_Vol12_D12_IVC7_E2_B1_4	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052868	TE_Female_hv_Vol12_D12_IVC7_E2_B1_50	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052869	TE_Female_hv_Vol12_D12_IVC7_E2_B1_51	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052870	TE_Female_hv_Vol12_D12_IVC7_E2_B1_53	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052871	TE_Female_hv_Vol12_D12_IVC7_E2_B1_54	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052872	TE_Female_hv_Vol12_D12_IVC7_E2_B1_55	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052873	TE_Female_hv_Vol12_D12_IVC7_E2_B1_5	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052874	TE_Female_hv_Vol12_D12_IVC7_E2_B1_68	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052875	TE_Female_hv_Vol12_D12_IVC7_E2_B1_69	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052876	TE_Female_hv_Vol12_D12_IVC7_E2_B1_71	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052877	TE_Female_hv_Vol12_D12_IVC7_E2_B1_9	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052878	TE_Female_hv_Vol12_D12_IVC7_E2_B2_18	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052879	TE_Female_hv_Vol12_D12_IVC7_E2_B2_22	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052880	TE_Female_hv_Vol12_D12_IVC7_E2_B2_24	Female_hv_Vol12_D12_IVC7_E2	TE	Female	D12	E02
HRR052881	TE_Female_hv_Vol14_D12_IVC7_E1_B1_12	Female_hv_Vol14_D12_IVC7_E1	TE	Female	D12	E01
HRR052882	TE_Female_hv_Vol14_D12_IVC7_E1_B1_19	Female_hv_Vol14_D12_IVC7_E1	TE	Female	D12	E01
HRR052883	TE_Female_hv_Vol14_D12_IVC7_E1_B1_32	Female_hv_Vol14_D12_IVC7_E1	TE	Female	D12	E01
HRR052884	TE_Female_hv_Vol14_D12_IVC7_E1_B1_48	Female_hv_Vol14_D12_IVC7_E1	TE	Female	D12	E01
